A)
Gaussian wavelet:
Number of neurons : 8
Lowest found cost: 0.0778493
Optimal p = [-1.476, 0.709101, -1.86171, -1.26858, -0.118404, 0.899121, 0.460178, 0.971936]
            [-0.159075, 1.62448, 0.118801, 0.530285, 0.439675, -1.72938, -0.46258, -1.85491]
            [-1.12411, 0.692006, -1.96921, 1.89747, 1.59834, -1.29359, 1.43661, 0.930652]

Wavelet:
Number of neurons : 8
Lowest found cost: 0.55057
Optimal p = [-1.47357, 0.699911, -1.86171, -1.90326, 0.0745917, 1.13138, 1.45325, 0.854154]
            [-0.166163, 1.74331, 0.118801, 0.608848, 0.892025, -1.95451, -1.05984, -1.60929]
            [-1.12414, 0.0166525, -1.96921, 1.68419, 0.791982, -0.834909, 1.73735, 1.42689]



-0.0610611 0.261407 0.274224 0.285677
-0.0590591 0.271082 0.283953 0.295434
-0.0570571 0.280732 0.293656 0.305159
-0.0550551 0.290357 0.303332 0.314849
-0.0530531 0.299954 0.31298 0.324505
-0.0510511 0.309523 0.322598 0.334124
-0.049049 0.319062 0.332185 0.343706
-0.047047 0.328571 0.341739 0.353249
-0.045045 0.338047 0.351261 0.362752
-0.043043 0.347491 0.360747 0.372214
-0.041041 0.3569 0.370198 0.381633
-0.039039 0.366273 0.379612 0.391008
-0.037037 0.37561 0.388987 0.400338
-0.035035 0.384909 0.398322 0.409622
-0.033033 0.394168 0.407617 0.418858
-0.031031 0.403388 0.41687 0.428046
-0.029029 0.412566 0.42608 0.437184
-0.027027 0.421702 0.435245 0.446271
-0.025025 0.430794 0.444365 0.455306
-0.023023 0.439841 0.453438 0.464287
-0.021021 0.448842 0.462463 0.473214
-0.019019 0.457796 0.471439 0.482086
-0.017017 0.466702 0.480364 0.4909
-0.015015 0.475559 0.489239 0.499657
-0.013013 0.484365 0.49806 0.508355
-0.011011 0.49312 0.506829 0.516992
-0.00900901 0.501822 0.515542 0.525569
-0.00700701 0.510471 0.524199 0.534083
-0.00500501 0.519064 0.532799 0.542533
-0.003003 0.527602 0.541341 0.55092
-0.001001 0.536083 0.549824 0.55924
0.001001 0.544507 0.558247 0.567495
0.003003 0.552871 0.566608 0.575681
